Transaction_Text,Amount,Deductee_Type,TDS_Section,TDS_Rate,TDS_Amount,Net_Payment,Ledger
Bulk inventory purchase,386073,Contractor,194Q,0.1%,386.07,385686.93,Purchase Expense
Interest payment booked,275317,Firm,194A,10%,27531.7,247785.3,Interest Expense
Bank interest paid,280618,Individual,194A,10%,28061.8,252556.2,Interest Expense
Purchase of stock items,331342,Individual,194Q,0.1%,331.34,331010.66,Purchase Expense
Warehouse rent paid,359899,Professional,194I,10%,35989.9,323909.1,Rent Expense
Raw material purchase made,375208,Professional,194Q,0.1%,375.21,374832.79,Purchase Expense
Legal consultancy fees paid,498540,Contractor,194J,10%,49854.0,448686.0,Professional Fees
Labour charges paid,111792,Company,194C,1%,1117.92,110674.08,Contractor Expense
Labour charges paid,37108,Firm,194C,1%,371.08,36736.92,Contractor Expense
Goods purchased from vendor,47331,Individual,194Q,0.1%,47.33,47283.67,Purchase Expense
Brokerage charges paid,100220,Firm,194H,5%,5011.0,95209.0,Commission Expense
Agent incentive paid,493940,Professional,194H,5%,24697.0,469243.0,Commission Expense
Interest on unsecured loan,113076,Individual,194A,10%,11307.6,101768.4,Interest Expense
Legal consultancy fees paid,86205,Company,194J,10%,8620.5,77584.5,Professional Fees
Commission paid to agent,234957,Individual,194H,5%,11747.85,223209.15,Commission Expense
Sales commission payment,115487,Company,194H,5%,5774.35,109712.65,Commission Expense
Finance charges paid,425330,Professional,194A,10%,42533.0,382797.0,Interest Expense
Brokerage charges paid,434586,Firm,194H,5%,21729.3,412856.7,Commission Expense
Building lease payment,353312,Professional,194I,10%,35331.2,317980.8,Rent Expense
Audit fees paid,162272,Company,194J,10%,16227.2,146044.8,Professional Fees
Finance charges paid,177621,Professional,194A,10%,17762.1,159858.9,Interest Expense
Purchase of stock items,28056,Professional,194Q,0.1%,28.06,28027.94,Purchase Expense
Professional consultancy charges,171179,Contractor,194J,10%,17117.9,154061.1,Professional Fees
Doctor consultation fees paid,133600,Company,194J,10%,13360.0,120240.0,Professional Fees
Vendor supply payment,90693,Professional,194Q,0.1%,90.69,90602.31,Purchase Expense
Shop rent transferred,491822,Firm,194I,10%,49182.2,442639.8,Rent Expense
Interest payment booked,161649,Contractor,194A,10%,16164.9,145484.1,Interest Expense
Office rent paid,248854,Contractor,194I,10%,24885.4,223968.6,Rent Expense
Warehouse rent paid,71768,Company,194I,10%,7176.8,64591.2,Rent Expense
Interest on unsecured loan,112911,Individual,194A,10%,11291.1,101619.9,Interest Expense
Professional consultancy charges,42979,Professional,194J,10%,4297.9,38681.1,Professional Fees
Sales commission payment,350217,Professional,194H,5%,17510.85,332706.15,Commission Expense
Labour charges paid,335205,Company,194C,1%,3352.05,331852.95,Contractor Expense
Bulk inventory purchase,78014,Company,194Q,0.1%,78.01,77935.99,Purchase Expense
Purchase of stock items,144029,Contractor,194Q,0.1%,144.03,143884.97,Purchase Expense
Office rent paid,405304,Professional,194I,10%,40530.4,364773.6,Rent Expense
Building lease payment,107610,Professional,194I,10%,10761.0,96849.0,Rent Expense
Goods purchased from vendor,117103,Professional,194Q,0.1%,117.1,116985.9,Purchase Expense
Doctor consultation fees paid,239856,Contractor,194J,10%,23985.6,215870.4,Professional Fees
Bulk inventory purchase,369158,Individual,194Q,0.1%,369.16,368788.84,Purchase Expense
Vendor supply payment,123885,Company,194Q,0.1%,123.89,123761.11,Purchase Expense
Freight charges paid,275293,Company,194C,1%,2752.93,272540.07,Contractor Expense
Contractor payment made,177777,Professional,194C,1%,1777.77,175999.23,Contractor Expense
Freight charges paid,314250,Company,194C,1%,3142.5,311107.5,Contractor Expense
Goods purchased from vendor,478215,Company,194Q,0.1%,478.21,477736.79,Purchase Expense
Construction work payment,116518,Professional,194C,1%,1165.18,115352.82,Contractor Expense
Transport charges paid,271004,Company,194C,1%,2710.04,268293.96,Contractor Expense
Finance charges paid,294257,Contractor,194A,10%,29425.7,264831.3,Interest Expense
Finance charges paid,489325,Individual,194A,10%,48932.5,440392.5,Interest Expense
Professional consultancy charges,344633,Firm,194J,10%,34463.3,310169.7,Professional Fees
Vendor supply payment,413682,Firm,194Q,0.1%,413.68,413268.32,Purchase Expense
Bulk inventory purchase,430157,Contractor,194Q,0.1%,430.16,429726.84,Purchase Expense
Vendor supply payment,386652,Contractor,194Q,0.1%,386.65,386265.35,Purchase Expense
Goods purchased from vendor,249598,Firm,194Q,0.1%,249.6,249348.4,Purchase Expense
Brokerage charges paid,223840,Contractor,194H,5%,11192.0,212648.0,Commission Expense
Raw material purchase made,166984,Individual,194Q,0.1%,166.98,166817.02,Purchase Expense
Shop rent transferred,265708,Company,194I,10%,26570.8,239137.2,Rent Expense
Finance charges paid,50408,Individual,194A,10%,5040.8,45367.2,Interest Expense
Legal consultancy fees paid,315195,Contractor,194J,10%,31519.5,283675.5,Professional Fees
Warehouse rent paid,116938,Professional,194I,10%,11693.8,105244.2,Rent Expense
Interest on unsecured loan,232945,Professional,194A,10%,23294.5,209650.5,Interest Expense
Interest paid on loan,478738,Firm,194A,10%,47873.8,430864.2,Interest Expense
Referral commission paid,83778,Individual,194H,5%,4188.9,79589.1,Commission Expense
Brokerage charges paid,288126,Individual,194H,5%,14406.3,273719.7,Commission Expense
Transport charges paid,277242,Firm,194C,1%,2772.42,274469.58,Contractor Expense
Contractor payment made,481547,Individual,194C,1%,4815.47,476731.53,Contractor Expense
Building lease payment,136064,Professional,194I,10%,13606.4,122457.6,Rent Expense
Goods purchased from vendor,396145,Individual,194Q,0.1%,396.14,395748.86,Purchase Expense
Legal consultancy fees paid,302422,Professional,194J,10%,30242.2,272179.8,Professional Fees
Vendor supply payment,227935,Firm,194Q,0.1%,227.94,227707.06,Purchase Expense
Building lease payment,307353,Professional,194I,10%,30735.3,276617.7,Rent Expense
Doctor consultation fees paid,460301,Contractor,194J,10%,46030.1,414270.9,Professional Fees
Property rent paid,181025,Professional,194I,10%,18102.5,162922.5,Rent Expense
Contractor payment made,369279,Firm,194C,1%,3692.79,365586.21,Contractor Expense
Audit fees paid,165491,Individual,194J,10%,16549.1,148941.9,Professional Fees
Property rent paid,492815,Professional,194I,10%,49281.5,443533.5,Rent Expense
Legal consultancy fees paid,433851,Firm,194J,10%,43385.1,390465.9,Professional Fees
CA fees paid,200492,Individual,194J,10%,20049.2,180442.8,Professional Fees
Construction work payment,411548,Professional,194C,1%,4115.48,407432.52,Contractor Expense
Interest paid on loan,15681,Contractor,194A,10%,1568.1,14112.9,Interest Expense
Interest paid on loan,259664,Professional,194A,10%,25966.4,233697.6,Interest Expense
Finance charges paid,184209,Firm,194A,10%,18420.9,165788.1,Interest Expense
Commission paid to agent,442582,Firm,194H,5%,22129.1,420452.9,Commission Expense
Interest payment booked,54817,Contractor,194A,10%,5481.7,49335.3,Interest Expense
Interest paid on loan,78026,Company,194A,10%,7802.6,70223.4,Interest Expense
Transport charges paid,444467,Company,194C,1%,4444.67,440022.33,Contractor Expense
Commission paid to agent,483091,Contractor,194H,5%,24154.55,458936.45,Commission Expense
Property rent paid,38140,Company,194I,10%,3814.0,34326.0,Rent Expense
Freight charges paid,348395,Individual,194C,1%,3483.95,344911.05,Contractor Expense
Raw material purchase made,273844,Firm,194Q,0.1%,273.84,273570.16,Purchase Expense
Brokerage charges paid,179968,Contractor,194H,5%,8998.4,170969.6,Commission Expense
Office rent paid,253017,Company,194I,10%,25301.7,227715.3,Rent Expense
Finance charges paid,160015,Contractor,194A,10%,16001.5,144013.5,Interest Expense
Agent incentive paid,263708,Company,194H,5%,13185.4,250522.6,Commission Expense
Sales commission payment,420919,Individual,194H,5%,21045.95,399873.05,Commission Expense
Goods purchased from vendor,299557,Firm,194Q,0.1%,299.56,299257.44,Purchase Expense
CA fees paid,37688,Firm,194J,10%,3768.8,33919.2,Professional Fees
Freight charges paid,484908,Company,194C,1%,4849.08,480058.92,Contractor Expense
Referral commission paid,100072,Firm,194H,5%,5003.6,95068.4,Commission Expense
Referral commission paid,308075,Company,194H,5%,15403.75,292671.25,Commission Expense
Sales commission payment,38371,Company,194H,5%,1918.55,36452.45,Commission Expense
Office rent paid,328807,Professional,194I,10%,32880.7,295926.3,Rent Expense
Building lease payment,178643,Individual,194I,10%,17864.3,160778.7,Rent Expense
Bulk inventory purchase,89246,Individual,194Q,0.1%,89.25,89156.75,Purchase Expense
Audit fees paid,402262,Individual,194J,10%,40226.2,362035.8,Professional Fees
Shop rent transferred,27252,Firm,194I,10%,2725.2,24526.8,Rent Expense
Agent incentive paid,477292,Contractor,194H,5%,23864.6,453427.4,Commission Expense
Freight charges paid,175187,Individual,194C,1%,1751.87,173435.13,Contractor Expense
Doctor consultation fees paid,349097,Contractor,194J,10%,34909.7,314187.3,Professional Fees
Building lease payment,155880,Individual,194I,10%,15588.0,140292.0,Rent Expense
Purchase of stock items,398593,Contractor,194Q,0.1%,398.59,398194.41,Purchase Expense
Goods purchased from vendor,233691,Professional,194Q,0.1%,233.69,233457.31,Purchase Expense
Freight charges paid,210748,Firm,194C,1%,2107.48,208640.52,Contractor Expense
Finance charges paid,343410,Company,194A,10%,34341.0,309069.0,Interest Expense
Bulk inventory purchase,427410,Contractor,194Q,0.1%,427.41,426982.59,Purchase Expense
Transport charges paid,78394,Firm,194C,1%,783.94,77610.06,Contractor Expense
Raw material purchase made,148156,Firm,194Q,0.1%,148.16,148007.84,Purchase Expense
Interest paid on loan,68614,Firm,194A,10%,6861.4,61752.6,Interest Expense
Bank interest paid,419628,Individual,194A,10%,41962.8,377665.2,Interest Expense
Bank interest paid,452760,Company,194A,10%,45276.0,407484.0,Interest Expense
Property rent paid,148308,Contractor,194I,10%,14830.8,133477.2,Rent Expense
Legal consultancy fees paid,363706,Professional,194J,10%,36370.6,327335.4,Professional Fees
Brokerage charges paid,146259,Contractor,194H,5%,7312.95,138946.05,Commission Expense
Agent incentive paid,248354,Company,194H,5%,12417.7,235936.3,Commission Expense
Brokerage charges paid,335255,Contractor,194H,5%,16762.75,318492.25,Commission Expense
Audit fees paid,451784,Company,194J,10%,45178.4,406605.6,Professional Fees
Referral commission paid,452458,Contractor,194H,5%,22622.9,429835.1,Commission Expense
Commission paid to agent,192875,Company,194H,5%,9643.75,183231.25,Commission Expense
Purchase of stock items,43188,Firm,194Q,0.1%,43.19,43144.81,Purchase Expense
Sales commission payment,425827,Company,194H,5%,21291.35,404535.65,Commission Expense
Purchase of stock items,129633,Firm,194Q,0.1%,129.63,129503.37,Purchase Expense
Vendor supply payment,360271,Company,194Q,0.1%,360.27,359910.73,Purchase Expense
Interest on unsecured loan,306137,Individual,194A,10%,30613.7,275523.3,Interest Expense
Shop rent transferred,446838,Individual,194I,10%,44683.8,402154.2,Rent Expense
Agent incentive paid,161463,Firm,194H,5%,8073.15,153389.85,Commission Expense
Raw material purchase made,207349,Professional,194Q,0.1%,207.35,207141.65,Purchase Expense
Contractor payment made,221055,Individual,194C,1%,2210.55,218844.45,Contractor Expense
Labour charges paid,269584,Professional,194C,1%,2695.84,266888.16,Contractor Expense
Vendor supply payment,446624,Contractor,194Q,0.1%,446.62,446177.38,Purchase Expense
Commission paid to agent,140749,Individual,194H,5%,7037.45,133711.55,Commission Expense
Interest on unsecured loan,323982,Individual,194A,10%,32398.2,291583.8,Interest Expense
Raw material purchase made,491993,Professional,194Q,0.1%,491.99,491501.01,Purchase Expense
Doctor consultation fees paid,84800,Contractor,194J,10%,8480.0,76320.0,Professional Fees
Transport charges paid,29710,Contractor,194C,1%,297.1,29412.9,Contractor Expense
Labour charges paid,442075,Professional,194C,1%,4420.75,437654.25,Contractor Expense
Agent incentive paid,191395,Firm,194H,5%,9569.75,181825.25,Commission Expense
Freight charges paid,457978,Firm,194C,1%,4579.78,453398.22,Contractor Expense
Freight charges paid,55573,Contractor,194C,1%,555.73,55017.27,Contractor Expense
Legal consultancy fees paid,208380,Contractor,194J,10%,20838.0,187542.0,Professional Fees
Transport charges paid,326820,Individual,194C,1%,3268.2,323551.8,Contractor Expense
Freight charges paid,166695,Individual,194C,1%,1666.95,165028.05,Contractor Expense
Construction work payment,176374,Contractor,194C,1%,1763.74,174610.26,Contractor Expense
Raw material purchase made,468279,Company,194Q,0.1%,468.28,467810.72,Purchase Expense
Office rent paid,214477,Individual,194I,10%,21447.7,193029.3,Rent Expense
Brokerage charges paid,367132,Firm,194H,5%,18356.6,348775.4,Commission Expense
Property rent paid,150331,Individual,194I,10%,15033.1,135297.9,Rent Expense
Contractor payment made,431918,Individual,194C,1%,4319.18,427598.82,Contractor Expense
Finance charges paid,460830,Professional,194A,10%,46083.0,414747.0,Interest Expense
Construction work payment,363776,Professional,194C,1%,3637.76,360138.24,Contractor Expense
Doctor consultation fees paid,357930,Professional,194J,10%,35793.0,322137.0,Professional Fees
Purchase of stock items,81662,Firm,194Q,0.1%,81.66,81580.34,Purchase Expense
Professional consultancy charges,231179,Firm,194J,10%,23117.9,208061.1,Professional Fees
Building lease payment,316542,Firm,194I,10%,31654.2,284887.8,Rent Expense
Warehouse rent paid,110898,Company,194I,10%,11089.8,99808.2,Rent Expense
Building lease payment,192973,Professional,194I,10%,19297.3,173675.7,Rent Expense
Bulk inventory purchase,473612,Company,194Q,0.1%,473.61,473138.39,Purchase Expense
Bank interest paid,223866,Individual,194A,10%,22386.6,201479.4,Interest Expense
Bulk inventory purchase,188681,Contractor,194Q,0.1%,188.68,188492.32,Purchase Expense
CA fees paid,401339,Company,194J,10%,40133.9,361205.1,Professional Fees
Office rent paid,207208,Company,194I,10%,20720.8,186487.2,Rent Expense
Purchase of stock items,421825,Company,194Q,0.1%,421.82,421403.18,Purchase Expense
Labour charges paid,229445,Company,194C,1%,2294.45,227150.55,Contractor Expense
Labour charges paid,461645,Contractor,194C,1%,4616.45,457028.55,Contractor Expense
Purchase of stock items,402216,Contractor,194Q,0.1%,402.22,401813.78,Purchase Expense
Audit fees paid,93455,Firm,194J,10%,9345.5,84109.5,Professional Fees
Commission paid to agent,181784,Individual,194H,5%,9089.2,172694.8,Commission Expense
Building lease payment,263503,Contractor,194I,10%,26350.3,237152.7,Rent Expense
Referral commission paid,55497,Contractor,194H,5%,2774.85,52722.15,Commission Expense
Goods purchased from vendor,295388,Contractor,194Q,0.1%,295.39,295092.61,Purchase Expense
Sales commission payment,96382,Contractor,194H,5%,4819.1,91562.9,Commission Expense
Shop rent transferred,319499,Contractor,194I,10%,31949.9,287549.1,Rent Expense
Interest payment booked,400499,Individual,194A,10%,40049.9,360449.1,Interest Expense
Bank interest paid,112277,Individual,194A,10%,11227.7,101049.3,Interest Expense
Interest paid on loan,180008,Company,194A,10%,18000.8,162007.2,Interest Expense
Building lease payment,89439,Professional,194I,10%,8943.9,80495.1,Rent Expense
Labour charges paid,407665,Company,194C,1%,4076.65,403588.35,Contractor Expense
Shop rent transferred,399048,Firm,194I,10%,39904.8,359143.2,Rent Expense
Interest on unsecured loan,394288,Professional,194A,10%,39428.8,354859.2,Interest Expense
Sales commission payment,313343,Professional,194H,5%,15667.15,297675.85,Commission Expense
Professional consultancy charges,286770,Contractor,194J,10%,28677.0,258093.0,Professional Fees
CA fees paid,195546,Professional,194J,10%,19554.6,175991.4,Professional Fees
Freight charges paid,483732,Firm,194C,1%,4837.32,478894.68,Contractor Expense
Purchase of stock items,449392,Professional,194Q,0.1%,449.39,448942.61,Purchase Expense
Goods purchased from vendor,43855,Professional,194Q,0.1%,43.85,43811.15,Purchase Expense
Office rent paid,369990,Individual,194I,10%,36999.0,332991.0,Rent Expense
Labour charges paid,482079,Firm,194C,1%,4820.79,477258.21,Contractor Expense
Purchase of stock items,335777,Individual,194Q,0.1%,335.78,335441.22,Purchase Expense
Shop rent transferred,400844,Firm,194I,10%,40084.4,360759.6,Rent Expense
Goods purchased from vendor,116911,Contractor,194Q,0.1%,116.91,116794.09,Purchase Expense
Bulk inventory purchase,58387,Professional,194Q,0.1%,58.39,58328.61,Purchase Expense
Labour charges paid,151001,Professional,194C,1%,1510.01,149490.99,Contractor Expense
Building lease payment,201088,Individual,194I,10%,20108.8,180979.2,Rent Expense
Doctor consultation fees paid,332342,Professional,194J,10%,33234.2,299107.8,Professional Fees
Raw material purchase made,32767,Professional,194Q,0.1%,32.77,32734.23,Purchase Expense
Commission paid to agent,314011,Professional,194H,5%,15700.55,298310.45,Commission Expense
Freight charges paid,319022,Company,194C,1%,3190.22,315831.78,Contractor Expense
Referral commission paid,238366,Contractor,194H,5%,11918.3,226447.7,Commission Expense
Interest paid on loan,244914,Individual,194A,10%,24491.4,220422.6,Interest Expense
Raw material purchase made,288027,Professional,194Q,0.1%,288.03,287738.97,Purchase Expense
Goods purchased from vendor,349254,Company,194Q,0.1%,349.25,348904.75,Purchase Expense
Goods purchased from vendor,171843,Contractor,194Q,0.1%,171.84,171671.16,Purchase Expense
Transport charges paid,93512,Company,194C,1%,935.12,92576.88,Contractor Expense
Audit fees paid,131240,Professional,194J,10%,13124.0,118116.0,Professional Fees
Vendor supply payment,248100,Individual,194Q,0.1%,248.1,247851.9,Purchase Expense
Interest paid on loan,279886,Individual,194A,10%,27988.6,251897.4,Interest Expense
Commission paid to agent,314837,Individual,194H,5%,15741.85,299095.15,Commission Expense
Commission paid to agent,317662,Firm,194H,5%,15883.1,301778.9,Commission Expense
Labour charges paid,385712,Company,194C,1%,3857.12,381854.88,Contractor Expense
Building lease payment,459487,Firm,194I,10%,45948.7,413538.3,Rent Expense
Legal consultancy fees paid,245692,Contractor,194J,10%,24569.2,221122.8,Professional Fees
Interest paid on loan,124930,Professional,194A,10%,12493.0,112437.0,Interest Expense
Agent incentive paid,279285,Contractor,194H,5%,13964.25,265320.75,Commission Expense
Agent incentive paid,183799,Firm,194H,5%,9189.95,174609.05,Commission Expense
Professional consultancy charges,492768,Company,194J,10%,49276.8,443491.2,Professional Fees
Labour charges paid,147076,Firm,194C,1%,1470.76,145605.24,Contractor Expense
Audit fees paid,312693,Contractor,194J,10%,31269.3,281423.7,Professional Fees
Legal consultancy fees paid,85167,Professional,194J,10%,8516.7,76650.3,Professional Fees
Commission paid to agent,279908,Professional,194H,5%,13995.4,265912.6,Commission Expense
Legal consultancy fees paid,416822,Contractor,194J,10%,41682.2,375139.8,Professional Fees
Interest paid on loan,176975,Firm,194A,10%,17697.5,159277.5,Interest Expense
Professional consultancy charges,132592,Professional,194J,10%,13259.2,119332.8,Professional Fees
Warehouse rent paid,285693,Professional,194I,10%,28569.3,257123.7,Rent Expense
Transport charges paid,41171,Company,194C,1%,411.71,40759.29,Contractor Expense
Sales commission payment,441161,Firm,194H,5%,22058.05,419102.95,Commission Expense
Transport charges paid,54940,Firm,194C,1%,549.4,54390.6,Contractor Expense
Referral commission paid,125674,Firm,194H,5%,6283.7,119390.3,Commission Expense
Property rent paid,409102,Contractor,194I,10%,40910.2,368191.8,Rent Expense
Interest paid on loan,9555,Company,194A,10%,955.5,8599.5,Interest Expense
Audit fees paid,422987,Individual,194J,10%,42298.7,380688.3,Professional Fees
Shop rent transferred,155330,Individual,194I,10%,15533.0,139797.0,Rent Expense
Doctor consultation fees paid,187906,Professional,194J,10%,18790.6,169115.4,Professional Fees
Bulk inventory purchase,441922,Professional,194Q,0.1%,441.92,441480.08,Purchase Expense
Office rent paid,166765,Contractor,194I,10%,16676.5,150088.5,Rent Expense
Doctor consultation fees paid,399580,Professional,194J,10%,39958.0,359622.0,Professional Fees
Bulk inventory purchase,133982,Contractor,194Q,0.1%,133.98,133848.02,Purchase Expense
Vendor supply payment,360974,Firm,194Q,0.1%,360.97,360613.03,Purchase Expense
Warehouse rent paid,440192,Firm,194I,10%,44019.2,396172.8,Rent Expense
Warehouse rent paid,380012,Professional,194I,10%,38001.2,342010.8,Rent Expense
Raw material purchase made,225300,Individual,194Q,0.1%,225.3,225074.7,Purchase Expense
Contractor payment made,80158,Individual,194C,1%,801.58,79356.42,Contractor Expense
Audit fees paid,14304,Contractor,194J,10%,1430.4,12873.6,Professional Fees
Interest payment booked,192758,Firm,194A,10%,19275.8,173482.2,Interest Expense
Building lease payment,359178,Professional,194I,10%,35917.8,323260.2,Rent Expense
Agent incentive paid,201495,Professional,194H,5%,10074.75,191420.25,Commission Expense
Property rent paid,307475,Company,194I,10%,30747.5,276727.5,Rent Expense
Interest paid on loan,88097,Individual,194A,10%,8809.7,79287.3,Interest Expense
Agent incentive paid,151782,Firm,194H,5%,7589.1,144192.9,Commission Expense
Transport charges paid,456658,Individual,194C,1%,4566.58,452091.42,Contractor Expense
Referral commission paid,393920,Professional,194H,5%,19696.0,374224.0,Commission Expense
Audit fees paid,191738,Contractor,194J,10%,19173.8,172564.2,Professional Fees
Raw material purchase made,244860,Contractor,194Q,0.1%,244.86,244615.14,Purchase Expense
Labour charges paid,103171,Individual,194C,1%,1031.71,102139.29,Contractor Expense
Building lease payment,150772,Company,194I,10%,15077.2,135694.8,Rent Expense
Bank interest paid,462188,Company,194A,10%,46218.8,415969.2,Interest Expense
Brokerage charges paid,455124,Company,194H,5%,22756.2,432367.8,Commission Expense
Professional consultancy charges,57967,Company,194J,10%,5796.7,52170.3,Professional Fees
Labour charges paid,98767,Contractor,194C,1%,987.67,97779.33,Contractor Expense
Building lease payment,330145,Company,194I,10%,33014.5,297130.5,Rent Expense
Finance charges paid,409121,Company,194A,10%,40912.1,368208.9,Interest Expense
Contractor payment made,277207,Contractor,194C,1%,2772.07,274434.93,Contractor Expense
Audit fees paid,180384,Firm,194J,10%,18038.4,162345.6,Professional Fees
Sales commission payment,64462,Firm,194H,5%,3223.1,61238.9,Commission Expense
Transport charges paid,78121,Professional,194C,1%,781.21,77339.79,Contractor Expense
Property rent paid,115962,Contractor,194I,10%,11596.2,104365.8,Rent Expense
Interest payment booked,253039,Professional,194A,10%,25303.9,227735.1,Interest Expense
Interest on unsecured loan,433941,Contractor,194A,10%,43394.1,390546.9,Interest Expense
Bank interest paid,263801,Contractor,194A,10%,26380.1,237420.9,Interest Expense
Interest payment booked,288255,Contractor,194A,10%,28825.5,259429.5,Interest Expense
Labour charges paid,385542,Contractor,194C,1%,3855.42,381686.58,Contractor Expense
Office rent paid,300414,Individual,194I,10%,30041.4,270372.6,Rent Expense
Interest paid on loan,281696,Company,194A,10%,28169.6,253526.4,Interest Expense
Purchase of stock items,179559,Contractor,194Q,0.1%,179.56,179379.44,Purchase Expense
Brokerage charges paid,370803,Contractor,194H,5%,18540.15,352262.85,Commission Expense
Construction work payment,232219,Company,194C,1%,2322.19,229896.81,Contractor Expense
Freight charges paid,392044,Contractor,194C,1%,3920.44,388123.56,Contractor Expense
Bulk inventory purchase,460908,Individual,194Q,0.1%,460.91,460447.09,Purchase Expense
Bank interest paid,169855,Individual,194A,10%,16985.5,152869.5,Interest Expense
Bank interest paid,21359,Professional,194A,10%,2135.9,19223.1,Interest Expense
Agent incentive paid,79217,Firm,194H,5%,3960.85,75256.15,Commission Expense
Shop rent transferred,44010,Firm,194I,10%,4401.0,39609.0,Rent Expense
Doctor consultation fees paid,107817,Firm,194J,10%,10781.7,97035.3,Professional Fees
Freight charges paid,318762,Individual,194C,1%,3187.62,315574.38,Contractor Expense
Professional consultancy charges,397523,Contractor,194J,10%,39752.3,357770.7,Professional Fees
Referral commission paid,402034,Professional,194H,5%,20101.7,381932.3,Commission Expense
Agent incentive paid,239819,Contractor,194H,5%,11990.95,227828.05,Commission Expense
Commission paid to agent,98518,Professional,194H,5%,4925.9,93592.1,Commission Expense
Contractor payment made,290851,Firm,194C,1%,2908.51,287942.49,Contractor Expense
Commission paid to agent,397255,Firm,194H,5%,19862.75,377392.25,Commission Expense
Purchase of stock items,486907,Contractor,194Q,0.1%,486.91,486420.09,Purchase Expense
Shop rent transferred,332068,Contractor,194I,10%,33206.8,298861.2,Rent Expense
Finance charges paid,443290,Individual,194A,10%,44329.0,398961.0,Interest Expense
Sales commission payment,394303,Contractor,194H,5%,19715.15,374587.85,Commission Expense
Purchase of stock items,46923,Firm,194Q,0.1%,46.92,46876.08,Purchase Expense
Transport charges paid,101991,Contractor,194C,1%,1019.91,100971.09,Contractor Expense
Vendor supply payment,189588,Firm,194Q,0.1%,189.59,189398.41,Purchase Expense
Doctor consultation fees paid,158943,Individual,194J,10%,15894.3,143048.7,Professional Fees
Goods purchased from vendor,86500,Company,194Q,0.1%,86.5,86413.5,Purchase Expense
Interest payment booked,474183,Firm,194A,10%,47418.3,426764.7,Interest Expense
Sales commission payment,96456,Firm,194H,5%,4822.8,91633.2,Commission Expense
Referral commission paid,472178,Contractor,194H,5%,23608.9,448569.1,Commission Expense
Interest paid on loan,434689,Firm,194A,10%,43468.9,391220.1,Interest Expense
Contractor payment made,316520,Professional,194C,1%,3165.2,313354.8,Contractor Expense
Purchase of stock items,361687,Company,194Q,0.1%,361.69,361325.31,Purchase Expense
Commission paid to agent,267237,Firm,194H,5%,13361.85,253875.15,Commission Expense
Bank interest paid,422431,Individual,194A,10%,42243.1,380187.9,Interest Expense
Professional consultancy charges,292424,Professional,194J,10%,29242.4,263181.6,Professional Fees
Contractor payment made,128052,Professional,194C,1%,1280.52,126771.48,Contractor Expense
Raw material purchase made,491555,Professional,194Q,0.1%,491.56,491063.44,Purchase Expense
Finance charges paid,376989,Contractor,194A,10%,37698.9,339290.1,Interest Expense
Shop rent transferred,491846,Professional,194I,10%,49184.6,442661.4,Rent Expense
Professional consultancy charges,396053,Professional,194J,10%,39605.3,356447.7,Professional Fees
Agent incentive paid,430206,Contractor,194H,5%,21510.3,408695.7,Commission Expense
Referral commission paid,452706,Contractor,194H,5%,22635.3,430070.7,Commission Expense
Interest on unsecured loan,351164,Individual,194A,10%,35116.4,316047.6,Interest Expense
Goods purchased from vendor,362797,Company,194Q,0.1%,362.8,362434.2,Purchase Expense
Building lease payment,162245,Firm,194I,10%,16224.5,146020.5,Rent Expense
Referral commission paid,428414,Firm,194H,5%,21420.7,406993.3,Commission Expense
Vendor supply payment,404899,Company,194Q,0.1%,404.9,404494.1,Purchase Expense
Transport charges paid,249814,Professional,194C,1%,2498.14,247315.86,Contractor Expense
Doctor consultation fees paid,296502,Individual,194J,10%,29650.2,266851.8,Professional Fees
Commission paid to agent,273416,Individual,194H,5%,13670.8,259745.2,Commission Expense
Labour charges paid,291061,Individual,194C,1%,2910.61,288150.39,Contractor Expense
Building lease payment,491059,Individual,194I,10%,49105.9,441953.1,Rent Expense
Referral commission paid,308984,Professional,194H,5%,15449.2,293534.8,Commission Expense
Office rent paid,155637,Firm,194I,10%,15563.7,140073.3,Rent Expense
Construction work payment,448380,Professional,194C,1%,4483.8,443896.2,Contractor Expense
Goods purchased from vendor,271374,Contractor,194Q,0.1%,271.37,271102.63,Purchase Expense
Transport charges paid,308420,Professional,194C,1%,3084.2,305335.8,Contractor Expense
Construction work payment,23809,Contractor,194C,1%,238.09,23570.91,Contractor Expense
Commission paid to agent,240168,Professional,194H,5%,12008.4,228159.6,Commission Expense
Interest payment booked,110246,Contractor,194A,10%,11024.6,99221.4,Interest Expense
Labour charges paid,22443,Individual,194C,1%,224.43,22218.57,Contractor Expense
Labour charges paid,422782,Contractor,194C,1%,4227.82,418554.18,Contractor Expense
Vendor supply payment,238757,Company,194Q,0.1%,238.76,238518.24,Purchase Expense
Interest payment booked,452442,Company,194A,10%,45244.2,407197.8,Interest Expense
Professional consultancy charges,382172,Company,194J,10%,38217.2,343954.8,Professional Fees
Shop rent transferred,158909,Firm,194I,10%,15890.9,143018.1,Rent Expense
Finance charges paid,53557,Company,194A,10%,5355.7,48201.3,Interest Expense
Doctor consultation fees paid,54373,Individual,194J,10%,5437.3,48935.7,Professional Fees
Construction work payment,46872,Company,194C,1%,468.72,46403.28,Contractor Expense
Transport charges paid,27867,Contractor,194C,1%,278.67,27588.33,Contractor Expense
Office rent paid,123384,Company,194I,10%,12338.4,111045.6,Rent Expense
